scenario_source,scenario,sector,technology,region,year,tmsr,smsp
weo_2021,steps,power,coalcap,european union,2041,0.09900958819719774,-0.11443607046448337
weo_2021,steps,power,gascap,european union,2041,1.1414578833693305,0.026280230842305578
weo_2021,steps,power,hydrocap,european union,2041,1.0788597449429476,0.012021615635322905
weo_2021,steps,power,nuclearcap,european union,2041,0.7681564245810056,-0.024978156652164612
weo_2021,steps,power,oilcap,european union,2041,0.29381849004056426,-0.02340122242496772
weo_2021,steps,power,renewablescap,european union,2041,2.2456953524322754,0.49066629483654345
weo_2021,steps,power,coalcap,european union,2042,0.09850411486881383,-0.11450027134905119
weo_2021,steps,power,gascap,european union,2042,1.119038876889849,0.022115198455968745
weo_2021,steps,power,hydrocap,european union,2042,1.081952542015977,0.012493090881367777
weo_2021,steps,power,nuclearcap,european union,2042,0.7681564245810056,-0.024978156652164612
weo_2021,steps,power,oilcap,european union,2042,0.2791669189320095,-0.023886741614511802
weo_2021,steps,power,renewablescap,european union,2042,2.2531777098077965,0.4936135166937346
weo_2021,steps,power,coalcap,european union,2043,0.09799864154042992,-0.114564472233619
weo_2021,steps,power,gascap,european union,2043,1.0966198704103671,0.017950166069631884
weo_2021,steps,power,hydrocap,european union,2043,1.0850453390890067,0.01296456612741268
weo_2021,steps,power,nuclearcap,european union,2043,0.7681564245810056,-0.024978156652164612
weo_2021,steps,power,oilcap,european union,2043,0.26451534782345465,-0.024372260804055888
weo_2021,steps,power,renewablescap,european union,2043,2.2606600671833172,0.49656073855092575
weo_2021,steps,power,coalcap,european union,2044,0.09749316821204601,-0.11462867311818682
weo_2021,steps,power,gascap,european union,2044,1.0742008639308855,0.013785133683295047
weo_2021,steps,power,hydrocap,european union,2044,1.0881381361620364,0.013436041373457552
weo_2021,steps,power,nuclearcap,european union,2044,0.7681564245810056,-0.024978156652164612
weo_2021,steps,power,oilcap,european union,2044,0.2498637767148998,-0.024857779993599973
weo_2021,steps,power,renewablescap,european union,2044,2.268142424558839,0.4995079604081169
weo_2021,steps,power,coalcap,european union,2045,0.0969876948836621,-0.11469287400275463
weo_2021,steps,power,gascap,european union,2045,1.051781857451404,0.009620101296958184
weo_2021,steps,power,hydrocap,european union,2045,1.0912309332350658,0.013907516619502427
weo_2021,steps,power,nuclearcap,european union,2045,0.7681564245810056,-0.024978156652164612
weo_2021,steps,power,oilcap,european union,2045,0.23521220560634493,-0.025343299183144055
weo_2021,steps,power,renewablescap,european union,2045,2.2756247819343596,0.502455182265308
weo_2021,steps,power,coalcap,european union,2046,0.09472886094744659,-0.11497977170566703
weo_2021,steps,power,gascap,european union,2046,1.016231101511879,0.003015435297044452
weo_2021,steps,power,hydrocap,european union,2046,1.094257926115052,0.014368960477333588
weo_2021,steps,power,nuclearcap,european union,2046,0.7681564245810056,-0.024978156652164612
weo_2021,steps,power,oilcap,european union,2046,0.22625174063086517,-0.025640228274270187
weo_2021,steps,power,renewablescap,european union,2046,2.280825249518027,0.5045035917385499
weo_2021,steps,power,coalcap,european union,2047,0.09247002701123097,-0.11526666940857945
weo_2021,steps,power,gascap,european union,2047,0.9806803455723542,-0.0035892307028692807
weo_2021,steps,power,hydrocap,european union,2047,1.0972849189950382,0.01483040433516472
weo_2021,steps,power,nuclearcap,european union,2047,0.7681564245810056,-0.024978156652164612
weo_2021,steps,power,oilcap,european union,2047,0.21729127565538542,-0.02593715736539632
weo_2021,steps,power,renewablescap,european union,2047,2.286025717101694,0.5065520012117917
weo_2021,steps,power,coalcap,european union,2048,0.09021119307501535,-0.11555356711149187
weo_2021,steps,power,gascap,european union,2048,0.9451295896328294,-0.010193896702782985
weo_2021,steps,power,hydrocap,european union,2048,1.1003119118750246,0.015291848192995882
weo_2021,steps,power,nuclearcap,european union,2048,0.7681564245810056,-0.024978156652164612
weo_2021,steps,power,oilcap,european union,2048,0.20833081067990544,-0.02623408645652246
weo_2021,steps,power,renewablescap,european union,2048,2.291226184685361,0.5086004106850334
weo_2021,steps,power,coalcap,european union,2049,0.08795235913879973,-0.11584046481440428
weo_2021,steps,power,gascap,european union,2049,0.9095788336933046,-0.016798562702696716
weo_2021,steps,power,hydrocap,european union,2049,1.1033389047550108,0.015753292050827015
weo_2021,steps,power,nuclearcap,european union,2049,0.7681564245810056,-0.024978156652164612
weo_2021,steps,power,oilcap,european union,2049,0.1993703457044257,-0.02653101554764859
weo_2021,steps,power,renewablescap,european union,2049,2.2964266522690284,0.5106488201582752
weo_2021,steps,power,coalcap,european union,2050,0.08569352520258422,-0.1161273625173167
weo_2021,steps,power,gascap,european union,2050,0.8740280777537798,-0.02340322870261045
weo_2021,steps,power,hydrocap,european union,2050,1.1063658976349973,0.016214735908658177
weo_2021,steps,power,nuclearcap,european union,2050,0.7681564245810056,-0.024978156652164612
weo_2021,steps,power,oilcap,european union,2050,0.19040988072894593,-0.026827944638774723
weo_2021,steps,power,renewablescap,european union,2050,2.3016271198526956,0.512697229631517
weo_2021,steps,power,coalcap,global,2021,1,0
weo_2021,steps,power,gascap,global,2021,1,0
weo_2021,steps,power,hydrocap,global,2021,1,0
weo_2021,steps,power,nuclearcap,global,2021,1,0
weo_2021,steps,power,oilcap,global,2021,1,0
weo_2021,steps,power,renewablescap,global,2021,1,0
weo_2021,steps,power,coalcap,global,2022,0.9965603859218451,-8.940045679552926e-4
weo_2021,steps,power,gascap,global,2022,1.0209772552550584,0.00482824292737901
weo_2021,steps,power,hydrocap,global,2022,1.0175241169459024,0.0029268448303598317
weo_2021,steps,power,nuclearcap,global,2022,1.0075536644834344,3.90740585717661e-4
weo_2021,steps,power,oilcap,global,2022,0.9663436114876883,-0.001731376481398338
weo_2021,steps,power,renewablescap,global,2022,1.143031187072921,0.03428897022173414
weo_2021,steps,power,coalcap,global,2023,0.9931207718436902,-0.0017880091359105852
weo_2021,steps,power,gascap,global,2023,1.041954510510117,0.00965648585475802
weo_2021,steps,power,hydrocap,global,2023,1.035048233891805,0.005853689660719692
weo_2021,steps,power,nuclearcap,global,2023,1.0151073289668688,7.81481171435322e-4
weo_2021,steps,power,oilcap,global,2023,0.9326872229753768,-0.003462752962796669
weo_2021,steps,power,renewablescap,global,2023,1.2860623741458423,0.06857794044346831
weo_2021,steps,power,coalcap,global,2024,0.9896811577655353,-0.002682013703865878
weo_2021,steps,power,gascap,global,2024,1.0629317657651753,0.014484728782137031
weo_2021,steps,power,hydrocap,global,2024,1.0525723508377076,0.008780534491079552
weo_2021,steps,power,nuclearcap,global,2024,1.0226609934503035,0.00117222175715299
weo_2021,steps,power,oilcap,global,2024,0.8990308344630651,-0.005194129444195007
weo_2021,steps,power,renewablescap,global,2024,1.4290935612187634,0.10286691066520248
weo_2021,steps,power,coalcap,global,2025,0.9862415436873805,-0.0035760182718211704
weo_2021,steps,power,gascap,global,2025,1.0839090210202338,0.01931297170951604
weo_2021,steps,power,hydrocap,global,2025,1.07009646778361,0.011707379321439384
weo_2021,steps,power,nuclearcap,global,2025,1.0302146579337381,0.001562962342870658
weo_2021,steps,power,oilcap,global,2025,0.8653744459507533,-0.006925505925593345
weo_2021,steps,power,renewablescap,global,2025,1.5721247482916845,0.1371558808869366
weo_2021,steps,power,coalcap,global,2026,0.9828019296092255,-0.004470022839776463
weo_2021,steps,power,gascap,global,2026,1.1048862762752922,0.02414121463689505
weo_2021,steps,power,hydrocap,global,2026,1.0876205847295126,0.014634224151799243
weo_2021,steps,power,nuclearcap,global,2026,1.0377683224171725,0.001953702928588319
weo_2021,steps,power,oilcap,global,2026,0.8317180574384416,-0.008656882406991683
weo_2021,steps,power,renewablescap,global,2026,1.7151559353646055,0.17144485110867075
weo_2021,steps,power,coalcap,global,2027,0.9793623155310707,-0.005364027407731756
weo_2021,steps,power,gascap,global,2027,1.1258635315303507,0.028969457564274062
weo_2021,steps,power,hydrocap,global,2027,1.1051447016754152,0.017561068982159103
weo_2021,steps,power,nuclearcap,global,2027,1.045321986900607,0.00234444351430598
weo_2021,steps,power,oilcap,global,2027,0.79806166892613,-0.01038825888839002
weo_2021,steps,power,renewablescap,global,2027,1.8581871224375268,0.20573382133040494
